Temp,Humd,Label
28,38,1
27,33,1
28,71,1
28,72,1
28,72,1
28,72,1
28,74,1
28,77,1
28,72,1
28,68,1
28,75,1
29,78,1
29,82,1
29,85,1
29,85,1
29,87,1
30,84,1
30,84,1
30,83,1
30,81,1
30,79,1
30,74,1
30,72,1
30,70,1
30,63,1
30,60,1
30,58,1
30,56,1
30,54,1
30,52,1
30,50,1
30,48,1
30,46,1
30,45,1
30,43,1
30,50,1
30,55,1
30,55,1
30,57,1
30,56,1
30,55,1
30,52,1
30,47,1
30,45,1
30,43,1
30,42,1
30,41,1
30,40,1
30,38,1
30,37,1
30,37,1
30,36,1
30,35,1
30,34,1
30,34,1
30,33,1
30,31,1
30,31,1
30,31,1
30,30,1
30,29,1
30,28,1
29,28,1
29,28,1
29,28,1
29,27,1
29,29,1
29,33,1
29,38,1
29,43,1
29,49,1
29,51,1
29,55,1
29,56,1
29,59,1
29,60,1
30,62,1
30,65,1
30,69,1
30,67,1
30,64,1
30,60,1
30,57,1
30,54,1
30,51,1
30,49,1
30,47,1
30,42,1
30,41,1
30,40,1
30,39,1
30,38,1
30,37,1
30,36,1
30,35,1
30,35,1
29,35,1
29,34,1
29,33,1
29,33,1
29,33,1
29,32,1
29,32,1
29,31,1
29,31,1
29,30,1
29,30,1
29,29,1
29,29,1
29,28,1
29,28,1
29,27,1
29,27,1
28,26,1
28,26,1
28,25,1
28,25,1
28,25,1
28,25,1
28,25,1
28,25,1
28,26,1
28,28,1
28,37,1
28,61,1
28,61,1
28,68,1
29,72,1
29,83,1
29,85,1
29,84,1
29,83,1
29,80,1
29,78,1
29,76,1
29,72,1
29,70,1
29,68,1
29,64,1
29,61,1
29,58,1
29,55,1
29,52,1
29,50,1
29,48,1
29,46,1
29,45,1
29,43,1
29,42,1
29,41,1
29,40,1
29,38,1
29,37,1
29,36,1
29,35,1
29,34,1
28,34,1
28,33,1
28,33,1
28,33,1
28,35,1
28,37,1
28,41,1
28,43,1
28,44,1
28,45,1
28,46,1
28,47,1
28,48,1
28,49,1
29,49,1
29,50,1
29,51,1
29,52,1
29,52,1
29,53,1
29,53,1
29,53,1
29,53,1
29,53,1
29,51,1
29,48,1
29,47,1
29,45,1
29,43,1
29,42,1
29,41,1
29,40,1
29,38,1
29,38,1
29,37,1
29,36,1
29,35,1
29,35,1
29,34,1
29,33,1
29,33,1
29,35,1
29,37,1
29,38,1
29,41,1
29,46,1
29,48,1
29,49,1
29,51,1
29,53,1
29,54,1
29,56,1
29,57,1
29,58,1
29,60,1
29,60,1
29,63,1
29,63,1
30,63,1
30,64,1
30,65,1
30,65,1
30,64,1
30,65,1
30,65,1
30,66,1
30,67,1
30,68,1
30,69,1
30,69,1
30,70,1
31,71,1
31,71,1
31,71,1
31,73,1
31,73,1
31,74,1
31,76,1
31,77,1
31,77,1
32,78,1
32,78,1
32,79,1
32,79,1
32,79,1
32,79,1
32,79,1
32,79,1
32,80,1
32,80,1
32,81,1
32,81,1
32,81,1
32,82,1
32,82,1
33,81,1
33,82,1
33,82,1
33,82,1
33,82,1
33,82,1
33,82,1
